policy,direction,direction_deg,push_n,recovery_rate
legacy,from_right,90.0,0.0,1.0000
legacy,from_right,90.0,50.0,1.0000
legacy,from_right,90.0,100.0,1.0000
legacy,from_right,90.0,150.0,1.0000
legacy,from_right,90.0,200.0,1.0000
legacy,from_right,90.0,250.0,1.0000
legacy,from_right,90.0,300.0,1.0000
legacy,from_right,90.0,350.0,0.8000
legacy,from_right,90.0,400.0,0.5250
legacy,from_right,90.0,450.0,0.1856
legacy,from_right,90.0,500.0,0.0160
legacy,from_right,90.0,550.0,0.0000
legacy,from_right,90.0,600.0,0.0000
legacy,from_right,90.0,650.0,0.0000
legacy,from_right,90.0,700.0,0.0000
legacy,from_front,180.0,0.0,1.0000
legacy,from_front,180.0,50.0,1.0000
legacy,from_front,180.0,100.0,1.0000
legacy,from_front,180.0,150.0,1.0000
legacy,from_front,180.0,200.0,1.0000
legacy,from_front,180.0,250.0,1.0000
legacy,from_front,180.0,300.0,1.0000
legacy,from_front,180.0,350.0,1.0000
legacy,from_front,180.0,400.0,0.9077
legacy,from_front,180.0,450.0,0.5571
legacy,from_front,180.0,500.0,0.3133
legacy,from_front,180.0,550.0,0.1474
legacy,from_front,180.0,600.0,0.0189
legacy,from_front,180.0,650.0,0.0000
legacy,from_front,180.0,700.0,0.0000
legacy,from_left,270.0,0.0,1.0000
legacy,from_left,270.0,50.0,1.0000
legacy,from_left,270.0,100.0,1.0000
legacy,from_left,270.0,150.0,1.0000
legacy,from_left,270.0,200.0,1.0000
legacy,from_left,270.0,250.0,1.0000
legacy,from_left,270.0,300.0,1.0000
legacy,from_left,270.0,350.0,0.8000
legacy,from_left,270.0,400.0,0.4058
legacy,from_left,270.0,450.0,0.1084
legacy,from_left,270.0,500.0,0.0091
legacy,from_left,270.0,550.0,0.0000
legacy,from_left,270.0,600.0,0.0000
legacy,from_left,270.0,650.0,0.0000
legacy,from_left,270.0,700.0,0.0000
